longitude_deg,latitude_deg,date_utc,integration_s,frequency_hz,amplitude,vlsr_kms
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420014257.8125,-6.955882230402505,111.37981810000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420019140.625,-1.6490805711243717,110.3492461
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420024023.4375,-7.261030132278456,109.31867419999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420028906.25,-2.2143273285518816,108.2881022
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420033789.0625,-7.6745511573656895,107.25753019999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420038671.875,-12.939228881823592,106.2269582
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420043554.6875,-14.50497448559752,105.19638619999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420048437.5,-9.567547291565011,104.1658143
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420053320.3125,-9.8861914962948,103.1352423
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420058203.125,-8.845655941600413,102.1046703
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420063085.9375,-9.820829053185031,101.0740983
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420067968.75,-9.467406449931948,100.0435264
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420072851.5625,-10.470433509087169,99.0129544
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420077734.375,-5.415193052014626,97.9823824
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420082617.1875,-10.3128698961755,96.9518104
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420087500.0,-9.024119807985883,95.9212385
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420092382.8125,-7.041656305066675,94.89066650000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420097265.625,-10.670670193997331,93.8600945
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420102148.4375,-10.380234170990269,92.82952250000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420107031.25,-11.361320646027822,91.7989506
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420111914.0625,-7.223498350229324,90.76837859999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420116796.875,-8.951996439935266,89.7378066
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420121679.6875,-10.412580025653668,88.70723459999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420126562.5,-12.933797514085256,87.6766627
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420131445.3125,-20.675856987551832,86.6460907
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420136328.125,-20.695396219643207,85.6155187
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420141210.9375,-10.409061764897189,84.5849467
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420146093.75,-9.09614122296774,83.5543748
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420150976.5625,-9.744580375236067,82.5238028
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420155859.375,-9.585310472043766,81.4932308
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420160742.1875,-11.425167652480022,80.4626588
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420165625.0,-15.030496905436625,79.4320869
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420170507.8125,-10.589564047117207,78.4015149
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420175390.625,-4.13682213725331,77.37094289999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420180273.4375,-10.390545624393129,76.3403709
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420185156.25,-15.42057785814538,75.309799
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420190039.0625,-11.301398999207803,74.279227
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420194921.875,-10.978210575189449,73.248655
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420199804.6875,-11.661272751278585,72.218083
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420204687.5,-7.516394841589407,71.18751110000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420209570.3125,-10.402977166712883,70.1569391
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420214453.125,-9.8930862719136,69.12636710000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420219335.9375,-17.60837890071746,68.0957951
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420224218.75,-16.21266238558663,67.06522319999999
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420229101.5625,-23.876589369945417,66.0346512
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420233984.375,-13.462037113110547,65.0040792
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420238867.1875,-8.489224502764907,63.9735072
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420243750.0,-8.533818673492465,62.942935299999995
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420248632.8125,-10.931461613482536,61.912363299999996
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420253515.625,-13.901241553622109,60.881791299999996
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420258398.4375,-19.103687742907695,59.8512193
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420263281.25,-18.29049003060886,58.8206474
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420268164.0625,-9.931586846547685,57.7900754
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420273046.875,-11.63420057285733,56.7595034
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420277929.6875,-10.261606341367717,55.7289314
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420282812.5,-12.237004394394184,54.698359499999995
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420287695.3125,-12.089263183594545,53.667787499999996
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420292578.125,-12.99911018969404,52.637215499999996
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420297460.9375,-8.461713317081777,51.6066435
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420302343.75,-9.818951635236342,50.576071600000006
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420307226.5625,-8.636812713218024,49.5454996
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420312109.375,-0.03696735395626952,48.5149276
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420316992.1875,-12.93656691626407,47.4843556
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420321875.0,-23.9188706448746,46.4537837
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420326757.8125,-12.767965060533498,45.4232117
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420331640.625,-12.725442265427867,44.3926397
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420336523.4375,-11.213432487989849,43.3620677
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420341406.25,-10.55963932552892,42.3314958
